PSDI,InChi,HLC (mol m-3 Pa-1),HLC Temperature (C),HLC Solvent InChi,Source,Citation,Master Version
PSDI000001,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3",0.36,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE980070+,0.0.8
PSDI000004,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF990470G,0.0.8
PSDI00000D,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE700418A,0.0.8
PSDI00001D,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2",0.29,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES970763V,0.0.8
PSDI00003E,"InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0378-3812(00)00390-3,0.0.8
PSDI000040,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2021.129858,0.0.8
PSDI000041,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.2343/GEOCHEMJ.1.0122,0.0.8
PSDI000043,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.29,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2010.07.032,0.0.8
PSDI000044,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1213/00000539-199904000-00035,0.0.8
PSDI000049,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00004A,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/KIN.20780,0.0.8
PSDI00004C,"InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,"Experimentelle Bestimmung und Korrelierung von Verteilungskoeffizienten in verd\unnten L\""osungen""",0.0.8
PSDI000050,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI000055,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2021.129858,0.0.8
PSDI000056,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00005E,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00005F,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2021.129858,0.0.8
PSDI000061,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0378-3812(96)03177-9,0.0.8
PSDI00007F,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0378-3812(99)00193-4,0.0.8
PSDI000081,InChI=1S/C12H4Cl4O2/c13-7-8(14)10(16)12-11(9(7)15)17-5-3-1-2-4-6(5)18-12/h1-4H,0.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(94)90388-3,0.0.8
PSDI00008B,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE960218U,0.0.8
PSDI00009D,"InChI=1S/C7H5Cl3O/c1-11-5-3-2-4(8)6(9)7(5)10/h2-3H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI00009F,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000A0,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000A2,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1177/074823379501100107,0.0.8
PSDI0000A3,InChI=1S/C6H2Br4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0342724,0.0.8
PSDI0000A4,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2012.12.017,0.0.8
PSDI0000B1,InChI=1S/C6H3Br3/c7-4-1-2-5(8)6(9)3-4/h1-3H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0342724,0.0.8
PSDI0000B2,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000B3,InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H,0.27,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(94)90388-3,0.0.8
PSDI0000B5,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000D6,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,1800.0,25.0,InChI=1S/H2O/h1H2,Sander2023,Amine Volatility in \chem{CO_2} Capture,0.0.8
PSDI0000DE,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000E1,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000E2,"InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1080/09593338709384529,0.0.8
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000EC,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000EF,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,"Messung und Korrelierung von Gasl\oslichkeiten halogenierter Kohlenwasserstoffe""",0.0.8
PSDI0000F3,InChI=1S/C6H4F2/c7-5-3-1-2-4-6(5)8/h1-4H,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2013.03.023,0.0.8
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/IE030800T,0.0.8
PSDI000112,InChI=1S/C3O2/c4-2-1-3-5,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.5194/ACP-17-8789-2017,0.0.8
PSDI000121,InChI=1S/C10H4Cl4/c11-5-1-7-8(10(14)3-5)2-6(12)4-9(7)13/h1-4H,0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2016.10.009,0.0.8
PSDI00012B,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0021-9673(98)00877-2,0.0.8
PSDI000132,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI000136,InChI=1S/C12H4Cl4O2/c13-5-1-7(15)11-9(3-5)18-12-8(16)2-6(14)4-10(12)17-11/h1-4H,0.14,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(85)90169-9,0.0.8
PSDI000150,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0095-8522(57)90054-5,0.0.8
PSDI00015B,"InChI=1S/C3HCl2F5/c4-1(6)2(7,8)3(5,9)10/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/KIN.20780,0.0.8
PSDI00015F,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,180.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI00016F,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,0.43,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2007.08.013,0.0.8
PSDI000170,InChI=1S/C4H8O2/c1-2-5-4-6-3-1/h1-4H2,1.8,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE900711H,0.0.8
PSDI000181,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",9100.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JA00343A044,0.0.8
PSDI000184,"InChI=1S/C5H13NO2/c1-2-5(6,3-7)4-8/h7-8H,2-4,6H2,1H3",710.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI0001A1,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",900.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0001A4,"InChI=1S/C10H18O/c1-8(2)10-6-4-9(3,11-10)5-7-10/h8H,4-7H2,1-3H3",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE700418A,0.0.8
PSDI0001AC,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0342724,0.0.8
PSDI0001AD,InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1080/09593338709384529,0.0.8
